text,label
C-104913 PartyA_92 PartyB_44,MediumRisk
C-109338 PartyA_269 PartyB_106,MediumRisk
C-124211 PartyA_254 PartyB_162,MediumRisk
C-118791 PartyA_57 PartyB_291,MediumRisk
C-116066 PartyA_95 PartyB_285,MediumRisk
C-100050 PartyA_216 PartyB_200,HighRisk
C-108482 PartyA_291 PartyB_89,LowRisk
C-123390 PartyA_177 PartyB_147,MediumRisk
C-112776 PartyA_229 PartyB_159,LowRisk
C-106164 PartyA_113 PartyB_283,LowRisk
C-110633 PartyA_210 PartyB_259,MediumRisk
C-115750 PartyA_117 PartyB_4,MediumRisk
C-101686 PartyA_280 PartyB_9,MediumRisk
C-112895 PartyA_218 PartyB_278,LowRisk
C-112862 PartyA_297 PartyB_216,MediumRisk
C-104398 PartyA_40 PartyB_179,MediumRisk
C-116186 PartyA_281 PartyB_68,MediumRisk
C-124922 PartyA_134 PartyB_28,HighRisk
C-111715 PartyA_152 PartyB_256,HighRisk
C-100724 PartyA_298 PartyB_92,MediumRisk
C-113825 PartyA_103 PartyB_104,MediumRisk
C-122124 PartyA_96 PartyB_121,HighRisk
C-104932 PartyA_189 PartyB_265,MediumRisk
C-106377 PartyA_66 PartyB_162,HighRisk
C-102805 PartyA_186 PartyB_120,MediumRisk
C-115518 PartyA_280 PartyB_139,MediumRisk
C-112836 PartyA_83 PartyB_276,MediumRisk
C-118758 PartyA_267 PartyB_139,MediumRisk
C-111272 PartyA_223 PartyB_176,MediumRisk
C-110499 PartyA_13 PartyB_279,LowRisk
C-114467 PartyA_8 PartyB_4,HighRisk
C-119825 PartyA_194 PartyB_52,MediumRisk
C-116323 PartyA_15 PartyB_184,HighRisk
C-101026 PartyA_231 PartyB_83,MediumRisk
C-108739 PartyA_76 PartyB_101,MediumRisk
C-114858 PartyA_89 PartyB_202,MediumRisk
C-108349 PartyA_235 PartyB_56,MediumRisk
C-123575 PartyA_257 PartyB_264,LowRisk
C-117835 PartyA_215 PartyB_10,HighRisk
C-103198 PartyA_151 PartyB_147,MediumRisk
C-106800 PartyA_159 PartyB_86,MediumRisk
C-105254 PartyA_51 PartyB_150,HighRisk
C-104224 PartyA_69 PartyB_162,MediumRisk
C-109100 PartyA_157 PartyB_182,MediumRisk
C-118402 PartyA_269 PartyB_159,MediumRisk
C-119967 PartyA_136 PartyB_200,HighRisk
C-120723 PartyA_139 PartyB_116,MediumRisk
C-106067 PartyA_239 PartyB_272,MediumRisk
C-100123 PartyA_73 PartyB_16,MediumRisk
C-101247 PartyA_4 PartyB_17,MediumRisk
C-100820 PartyA_4 PartyB_186,HighRisk
C-100580 PartyA_69 PartyB_6,HighRisk
C-104828 PartyA_194 PartyB_219,MediumRisk
C-111395 PartyA_50 PartyB_162,MediumRisk
C-110156 PartyA_187 PartyB_299,HighRisk
C-105027 PartyA_103 PartyB_189,MediumRisk
C-124126 PartyA_10 PartyB_143,LowRisk
C-117187 PartyA_283 PartyB_289,MediumRisk
C-109929 PartyA_44 PartyB_258,MediumRisk
C-118982 PartyA_211 PartyB_111,HighRisk
C-116883 PartyA_108 PartyB_177,HighRisk
C-106428 PartyA_222 PartyB_94,MediumRisk
C-104749 PartyA_147 PartyB_29,MediumRisk
C-107755 PartyA_193 PartyB_78,MediumRisk
C-109740 PartyA_6 PartyB_10,MediumRisk
C-110869 PartyA_218 PartyB_232,HighRisk
C-102948 PartyA_165 PartyB_120,HighRisk
C-108048 PartyA_73 PartyB_204,MediumRisk
C-118373 PartyA_25 PartyB_161,HighRisk
C-110056 PartyA_221 PartyB_296,LowRisk
C-108443 PartyA_130 PartyB_76,MediumRisk
C-104448 PartyA_111 PartyB_154,MediumRisk
C-109367 PartyA_126 PartyB_204,LowRisk
C-109276 PartyA_275 PartyB_292,LowRisk
C-116326 PartyA_273 PartyB_75,MediumRisk
C-114793 PartyA_271 PartyB_25,MediumRisk
C-119943 PartyA_21 PartyB_125,LowRisk
C-105059 PartyA_153 PartyB_39,MediumRisk
C-122739 PartyA_126 PartyB_77,MediumRisk
C-107110 PartyA_244 PartyB_120,MediumRisk
C-101959 PartyA_236 PartyB_174,LowRisk
C-101223 PartyA_21 PartyB_63,MediumRisk
C-122237 PartyA_183 PartyB_79,MediumRisk
C-103625 PartyA_183 PartyB_268,MediumRisk
C-120704 PartyA_3 PartyB_144,MediumRisk
C-109448 PartyA_133 PartyB_132,MediumRisk
C-111811 PartyA_189 PartyB_200,HighRisk
C-124603 PartyA_108 PartyB_50,MediumRisk
C-102541 PartyA_45 PartyB_209,MediumRisk
C-111947 PartyA_30 PartyB_52,MediumRisk
C-105382 PartyA_273 PartyB_294,MediumRisk
C-116039 PartyA_185 PartyB_165,MediumRisk
C-108317 PartyA_68 PartyB_227,MediumRisk
C-118828 PartyA_179 PartyB_175,MediumRisk
C-120810 PartyA_181 PartyB_90,MediumRisk
C-100930 PartyA_217 PartyB_254,MediumRisk
C-113748 PartyA_35 PartyB_29,HighRisk
C-117703 PartyA_299 PartyB_51,HighRisk
C-120943 PartyA_245 PartyB_82,MediumRisk
C-119512 PartyA_213 PartyB_202,MediumRisk
C-106002 PartyA_274 PartyB_225,MediumRisk
C-123613 PartyA_237 PartyB_260,MediumRisk
C-111843 PartyA_299 PartyB_9,LowRisk
C-106248 PartyA_193 PartyB_218,MediumRisk
C-114161 PartyA_31 PartyB_177,MediumRisk
C-100982 PartyA_31 PartyB_17,HighRisk
C-105023 PartyA_121 PartyB_32,MediumRisk
C-114983 PartyA_228 PartyB_254,MediumRisk
C-111464 PartyA_68 PartyB_118,MediumRisk
C-100535 PartyA_98 PartyB_150,MediumRisk
C-119077 PartyA_31 PartyB_271,HighRisk
C-121552 PartyA_280 PartyB_207,HighRisk
C-111668 PartyA_267 PartyB_132,MediumRisk
C-117626 PartyA_12 PartyB_72,MediumRisk
C-116290 PartyA_3 PartyB_290,MediumRisk
C-116830 PartyA_47 PartyB_209,LowRisk
C-119847 PartyA_97 PartyB_32,MediumRisk
C-118118 PartyA_261 PartyB_34,HighRisk
C-112947 PartyA_105 PartyB_157,MediumRisk
C-121836 PartyA_185 PartyB_293,MediumRisk
C-109792 PartyA_222 PartyB_132,MediumRisk
C-101464 PartyA_43 PartyB_126,MediumRisk
